city,province_id,province_name
Toronto,ON,Ontario
Montréal,QC,Quebec
Vancouver,BC,British Columbia
Calgary,AB,Alberta
Edmonton,AB,Alberta
Ottawa,ON,Ontario
Winnipeg,MB,Manitoba
Quebec City,QC,Quebec
Hamilton,ON,Ontario
Mississauga,ON,Ontario
Brampton,ON,Ontario
Surrey,BC,British Columbia
Kitchener,ON,Ontario
Halifax,NS,Nova Scotia
Laval,QC,Quebec
London,ON,Ontario
Victoria,BC,British Columbia
Markham,ON,Ontario
Oshawa,ON,Ontario
Vaughan,ON,Ontario
Windsor,ON,Ontario
Gatineau,QC,Quebec
Saskatoon,SK,Saskatchewan
Longueuil,QC,Quebec
Burnaby,BC,British Columbia
St. Catharines,ON,Ontario
Regina,SK,Saskatchewan
Oakville,ON,Ontario
Richmond,BC,British Columbia
Richmond Hill,ON,Ontario
Burlington,ON,Ontario
St. John's,NL,Newfoundland and Labrador
Kelowna,BC,British Columbia
Sherbrooke,QC,Quebec
Sudbury,ON,Ontario
Barrie,ON,Ontario
Abbotsford,BC,British Columbia
Lévis,QC,Quebec
Coquitlam,BC,British Columbia
Saguenay,QC,Quebec
Guelph,ON,Ontario
Trois-Rivières,QC,Quebec
Whitby,ON,Ontario
Cambridge,ON,Ontario
Milton,ON,Ontario
Ajax,ON,Ontario
Waterloo,ON,Ontario
Terrebonne,QC,Quebec
Moncton,NB,New Brunswick
Saanich,BC,British Columbia
White Rock,BC,British Columbia
Thunder Bay,ON,Ontario
Delta,BC,British Columbia
Nanaimo,BC,British Columbia
Brantford,ON,Ontario
Chatham,ON,Ontario
Clarington,ON,Ontario
Saint-Jérôme,QC,Quebec
Red Deer,AB,Alberta
Pickering,ON,Ontario
Lethbridge,AB,Alberta
Kamloops,BC,British Columbia
Saint-Jean-sur-Richelieu,QC,Quebec
Niagara Falls,ON,Ontario
Cape Breton,NS,Nova Scotia
Chilliwack,BC,British Columbia
Brossard,QC,Quebec
Maple Ridge,BC,British Columbia
Newmarket,ON,Ontario
Repentigny,QC,Quebec
Peterborough,ON,Ontario
Drummondville,QC,Quebec
Kawartha Lakes,ON,Ontario
New Westminster,BC,British Columbia
Prince George,BC,British Columbia
Caledon,ON,Ontario
Châteauguay,QC,Quebec
Belleville,ON,Ontario
Airdrie,AB,Alberta
Sarnia,ON,Ontario
Wood Buffalo,AB,Alberta
Sault Ste. Marie,ON,Ontario
Saint John,NB,New Brunswick
Welland,ON,Ontario
Granby,QC,Quebec
St. Albert,AB,Alberta
Fredericton,NB,New Brunswick
Grande Prairie,AB,Alberta
Medicine Hat,AB,Alberta
Halton Hills,ON,Ontario
Aurora,ON,Ontario
Port Coquitlam,BC,British Columbia
Mirabel,QC,Quebec
Blainville,QC,Quebec
Lac-Brome,QC,Quebec
North Vancouver,BC,British Columbia
Saint-Hyacinthe,QC,Quebec
Beloeil,QC,Quebec
North Bay,ON,Ontario
Charlottetown,PE,Prince Edward Island
Vernon,BC,British Columbia
Brandon,MB,Manitoba
Mascouche,QC,Quebec
Stouffville,ON,Ontario
Shawinigan,QC,Quebec
Joliette,QC,Quebec
Rimouski,QC,Quebec
Courtenay,BC,British Columbia
Dollard-des-Ormeaux,QC,Quebec
Cornwall,ON,Ontario
Victoriaville,QC,Quebec
Georgina,ON,Ontario
Woodstock,ON,Ontario
Langford Station,BC,British Columbia
Quinte West,ON,Ontario
St. Thomas,ON,Ontario
Saint-Eustache,QC,Quebec
West Vancouver,BC,British Columbia
New Tecumseth,ON,Ontario
Innisfil,ON,Ontario
Vaudreuil-Dorion,QC,Quebec
Bradford West Gwillimbury,ON,Ontario
Salaberry-de-Valleyfield,QC,Quebec
Rouyn-Noranda,QC,Quebec
Boucherville,QC,Quebec
Mission,BC,British Columbia
Timmins,ON,Ontario
Lakeshore,ON,Ontario
Brant,ON,Ontario
Spruce Grove,AB,Alberta
Campbell River,BC,British Columbia
Prince Albert,SK,Saskatchewan
Penticton,BC,British Columbia
Sorel-Tracy,QC,Quebec
East Kelowna,BC,British Columbia
Leamington,ON,Ontario
East Gwillimbury,ON,Ontario
Côte-Saint-Luc,QC,Quebec
Orangeville,ON,Ontario
Leduc,AB,Alberta
Moose Jaw,SK,Saskatchewan
Port Moody,BC,British Columbia
Pointe-Claire,QC,Quebec
Orillia,ON,Ontario
Stratford,ON,Ontario
Fort Erie,ON,Ontario
Val-d’Or,QC,Quebec
LaSalle,ON,Ontario
Cochrane,AB,Alberta
North Cowichan,BC,British Columbia
Lloydminster,SK,Saskatchewan
Chambly,QC,Quebec
Centre Wellington,ON,Ontario
Okotoks,AB,Alberta
Alma,QC,Quebec
Sainte-Julie,QC,Quebec
Saint-Constant,QC,Quebec
Langley,BC,British Columbia
Grimsby,ON,Ontario
Magog,QC,Quebec
Boisbriand,QC,Quebec
Whitehorse,YT,Yukon
Dieppe,NB,New Brunswick
King,ON,Ontario
Parksville,BC,British Columbia
Conception Bay South,NL,Newfoundland and Labrador
Fort Saskatchewan,AB,Alberta
Woolwich,ON,Ontario
Sainte-Thérèse,QC,Quebec
Clarence-Rockland,ON,Ontario
La Prairie,QC,Quebec
Saint-Bruno-de-Montarville,QC,Quebec
Midland,ON,Ontario
Thetford Mines,QC,Quebec
Lincoln,ON,Ontario
Quispamsis,NB,New Brunswick
Wasaga Beach,ON,Ontario
Collingwood,ON,Ontario
Sept-Îles,QC,Quebec
Duncan,BC,British Columbia
Hudson,QC,Quebec
Saint-Lin--Laurentides,QC,Quebec
Strathroy-Caradoc,ON,Ontario
Squamish,BC,British Columbia
Thorold,ON,Ontario
Truro,NS,Nova Scotia
Amherstburg,ON,Ontario
L’Assomption,QC,Quebec
Tecumseh,ON,Ontario
Candiac,QC,Quebec
Essa,ON,Ontario
Paradise,NL,Newfoundland and Labrador
Saint-Lambert,QC,Quebec
Mount Pearl Park,NL,Newfoundland and Labrador
Saint-Lazare,QC,Quebec
Owen Sound,ON,Ontario
Brockville,ON,Ontario
Chestermere,AB,Alberta
Kingsville,ON,Ontario
Port Alberni,BC,British Columbia
Springwater,ON,Ontario
Scugog,ON,Ontario
Uxbridge,ON,Ontario
Fort St. John,BC,British Columbia
Wilmot,ON,Ontario
Essex,ON,Ontario
Varennes,QC,Quebec
Oro-Medonte,ON,Ontario
Mont-Royal,QC,Quebec
Beaumont,AB,Alberta
Baie-Comeau,QC,Quebec
Riverview,NB,New Brunswick
Cobourg,ON,Ontario
Cranbrook,BC,British Columbia
Yellowknife,NT,Northwest Territories
South Frontenac,ON,Ontario
Rivière-du-Loup,QC,Quebec
Port Colborne,ON,Ontario
Saint-Augustin-de-Desmaures,QC,Quebec
Huntsville,ON,Ontario
Sainte-Marthe-sur-le-Lac,QC,Quebec
Lloydminster,AB,Alberta
Westmount,QC,Quebec
Russell,ON,Ontario
Les Coteaux,QC,Quebec
Salmon Arm,BC,British Columbia
Kirkland,QC,Quebec
Corner Brook,NL,Newfoundland and Labrador
New Glasgow,NS,Nova Scotia
Dorval,QC,Quebec
Beaconsfield,QC,Quebec
Pitt Meadows,BC,British Columbia
Niagara-on-the-Lake,ON,Ontario
Colwood,BC,British Columbia
Middlesex Centre,ON,Ontario
Mont-Saint-Hilaire,QC,Quebec
Camrose,AB,Alberta
Selwyn,ON,Ontario
Tillsonburg,ON,Ontario
Pelham,ON,Ontario
Petawawa,ON,Ontario
Stony Plain,AB,Alberta
Oak Bay,BC,British Columbia
North Grenville,ON,Ontario
Loyalist,ON,Ontario
Deux-Montagnes,QC,Quebec
Steinbach,MB,Manitoba
Saint-Colomban,QC,Quebec
Miramichi,NB,New Brunswick
Esquimalt,BC,British Columbia
Central Saanich,BC,British Columbia
Sainte-Catherine,QC,Quebec
Port Hope,ON,Ontario
Inverness,NS,Nova Scotia
Saint-Basile-le-Grand,QC,Quebec
L’Ancienne-Lorette,QC,Quebec
Swift Current,SK,Saskatchewan
Pembroke,ON,Ontario
Edmundston,NB,New Brunswick
Yorkton,SK,Saskatchewan
Springfield,MB,Manitoba
Sylvan Lake,AB,Alberta
Bracebridge,ON,Ontario
Summerside,PE,Prince Edward Island
Canmore,AB,Alberta
Bathurst,NB,New Brunswick
Greater Napanee,ON,Ontario
Lake Country,BC,British Columbia
Hanover,MB,Manitoba
Winkler,MB,Manitoba
Saint-Charles-Borromée,QC,Quebec
Cowansville,QC,Quebec
Sainte-Anne-des-Plaines,QC,Quebec
Gaspé,QC,Quebec
Sooke,BC,British Columbia
Kenora,ON,Ontario
Cold Lake,AB,Alberta
Brooks,AB,Alberta
Kentville,NS,Nova Scotia
Comox,BC,British Columbia
Pincourt,QC,Quebec
Mississippi Mills,ON,Ontario
St. Clair,ON,Ontario
Terrace,BC,British Columbia
Mercier,QC,Quebec
West Lincoln,ON,Ontario
Lavaltrie,QC,Quebec
West Nipissing / Nipissing Ouest,ON,Ontario
Strathmore,AB,Alberta
High River,AB,Alberta
Clearview,ON,Ontario
Lachute,QC,Quebec
Rosemère,QC,Quebec
Matane,QC,Quebec
Thames Centre,ON,Ontario
Powell River,BC,British Columbia
Carleton Place,ON,Ontario
Guelph/Eramosa,ON,Ontario
Grand Falls,NL,Newfoundland and Labrador
North Battleford,SK,Saskatchewan
Mont-Laurier,QC,Quebec
Central Elgin,ON,Ontario
Mistassini,QC,Quebec
Saugeen Shores,ON,Ontario
Ingersoll,ON,Ontario
Beauharnois,QC,Quebec
South Stormont,ON,Ontario
Bécancour,QC,Quebec
Severn,ON,Ontario
Lacombe,AB,Alberta
Sainte-Sophie,QC,Quebec
Val-des-Monts,QC,Quebec
Saint-Amable,QC,Quebec
Portage La Prairie,MB,Manitoba
South Glengarry,ON,Ontario
Sainte-Marie,QC,Quebec
North Perth,ON,Ontario
Thompson,MB,Manitoba
Trent Hills,ON,Ontario
Trail,BC,British Columbia
The Nation / La Nation,ON,Ontario
Amos,QC,Quebec
Wetaskiwin,AB,Alberta
West Grey,ON,Ontario
Warman,SK,Saskatchewan
Dawson Creek,BC,British Columbia
Sidney,BC,British Columbia
Gravenhurst,ON,Ontario
Prince Rupert,BC,British Columbia
Perth East,ON,Ontario
North Saanich,BC,British Columbia
Prévost,QC,Quebec
Sainte-Adèle,QC,Quebec
Sainte-Agathe-des-Monts,QC,Quebec
Quesnel,BC,British Columbia
Les Îles-de-la-Madeleine,QC,Quebec
Taché,MB,Manitoba
Wellington North,ON,Ontario
St. Andrews,MB,Manitoba
Williams Lake,BC,British Columbia
Gander,NL,Newfoundland and Labrador
Whistler,BC,British Columbia
Brighton,ON,Ontario
Tiny,ON,Ontario
Hawkesbury,ON,Ontario
Carignan,QC,Quebec
Brock,ON,Ontario
L’Île-Perrot,QC,Quebec
Summerland,BC,British Columbia
St. Clements,MB,Manitoba
View Royal,BC,British Columbia
Montmagny,QC,Quebec
Cantley,QC,Quebec
Erin,ON,Ontario
Notre-Dame-de-l'Île-Perrot,QC,Quebec
Kincardine,ON,Ontario
Elliot Lake,ON,Ontario
Bromont,QC,Quebec
Arnprior,ON,Ontario
North Dundas,ON,Ontario
Wellesley,ON,Ontario
Nelson,BC,British Columbia
Ladysmith,BC,British Columbia
Coldstream,BC,British Columbia
Georgian Bluffs,ON,Ontario
Weyburn,SK,Saskatchewan
La Tuque,QC,Quebec
Norwich,ON,Ontario
Meaford,ON,Ontario
Adjala-Tosorontio,ON,Ontario
Hamilton Township,ON,Ontario
Stratford,PE,Prince Edward Island
Estevan,SK,Saskatchewan
South Dundas,ON,Ontario
Lambton Shores,ON,Ontario
North Dumfries,ON,Ontario
Martensville,SK,Saskatchewan
Mapleton,ON,Ontario
Rawdon,QC,Quebec
Morinville,AB,Alberta
Blackfalds,AB,Alberta
Chester,NS,Nova Scotia
Queens,NS,Nova Scotia
Selkirk,MB,Manitoba
Saint-Félicien,QC,Quebec
Roberval,QC,Quebec
Rideau Lakes,ON,Ontario
Sechelt,BC,British Columbia
Bois-des-Filion,QC,Quebec
North Glengarry,ON,Ontario
South Huron,ON,Ontario
Marieville,QC,Quebec
Penetanguishene,ON,Ontario
Tay,ON,Ontario
Castlegar,BC,British Columbia
Cavan Monaghan,ON,Ontario
Morden,MB,Manitoba
Temiskaming Shores,ON,Ontario
Hinton,AB,Alberta
Saint-Sauveur,QC,Quebec
Grey Highlands,ON,Ontario
East St. Paul,MB,Manitoba
Stoneham-et-Tewkesbury,QC,Quebec
Alfred and Plantagenet,ON,Ontario
Mont-Tremblant,QC,Quebec
Saint-Zotique,QC,Quebec
Saint-Raymond,QC,Quebec
Gibsons,BC,British Columbia
Amherst,NS,Nova Scotia
Elizabethtown-Kitley,ON,Ontario
Smiths Falls,ON,Ontario
Lorraine,QC,Quebec
Ramara,ON,Ontario
Notre-Dame-des-Prairies,QC,Quebec
Leeds and the Thousand Islands,ON,Ontario
Brockton,ON,Ontario
Laurentian Valley,ON,Ontario
Mono,ON,Ontario
Sainte-Julienne,QC,Quebec
Qualicum Beach,BC,British Columbia
Malahide,ON,Ontario
Oromocto,NB,New Brunswick
Whitecourt,AB,Alberta
Olds,AB,Alberta
Huron East,ON,Ontario
Beckwith,ON,Ontario
Labrador City,NL,Newfoundland and Labrador
Shelburne,ON,Ontario
Stanley,MB,Manitoba
Taber,AB,Alberta
Donnacona,QC,Quebec
Corman Park No. 344,SK,Saskatchewan
L’Epiphanie,QC,Quebec
West Perth,ON,Ontario
Campbellton,NB,New Brunswick
Bridgewater,NS,Nova Scotia
Coaldale,AB,Alberta
Pont-Rouge,QC,Quebec
Champlain,ON,Ontario
Coaticook,QC,Quebec
Minto,ON,Ontario
La Pêche,QC,Quebec
Shediac,NB,New Brunswick
Otterburn Park,QC,Quebec
Sainte-Brigitte-de-Laval,QC,Quebec
Sainte-Catherine-de-la-Jacques-Cartier,QC,Quebec
South Bruce Peninsula,ON,Ontario
Portugal Cove-St. Philip's,NL,Newfoundland and Labrador
Edson,AB,Alberta
Renfrew,ON,Ontario
Farnham,QC,Quebec
Delson,QC,Quebec
Plympton-Wyoming,ON,Ontario
Banff,AB,Alberta
Kapuskasing,ON,Ontario
La Malbaie,QC,Quebec
Boischatel,QC,Quebec
Beauport,QC,Quebec
Zorra,ON,Ontario
Kitimat,BC,British Columbia
Macdonald,MB,Manitoba
Happy Valley,NL,Newfoundland and Labrador
Saint-Hippolyte,QC,Quebec
Dauphin,MB,Manitoba
Church Point,NS,Nova Scotia
Old Chelsea,QC,Quebec
Drumheller,AB,Alberta
Kirkland Lake,ON,Ontario
Aylmer,ON,Ontario
Saint-Apollinaire,QC,Quebec
Puslinch,ON,Ontario
Argyle,NS,Nova Scotia
Torbay,NL,Newfoundland and Labrador
Yarmouth,NS,Nova Scotia
Innisfail,AB,Alberta
Nicolet,QC,Quebec
Rockwood,MB,Manitoba
Drummond/North Elmsley,ON,Ontario
Contrecoeur,QC,Quebec
Hanover,ON,Ontario
Dryden,ON,Ontario
Iqaluit,NU,Nunavut
Fort Frances,ON,Ontario
Goderich,ON,Ontario
La Sarre,QC,Quebec
Chandler,QC,Quebec
Stone Mills,ON,Ontario
South-West Oxford,ON,Ontario
Acton Vale,QC,Quebec
Douro-Dummer,ON,Ontario
Saint-Philippe,QC,Quebec
McNab/Braeside,ON,Ontario
Central Huron,ON,Ontario
Rigaud,QC,Quebec
Louiseville,QC,Quebec
Chibougamau,QC,Quebec
Coteau-du-Lac,QC,Quebec
Ritchot,MB,Manitoba
Kimberley,BC,British Columbia
Blandford-Blenheim,ON,Ontario
Bayham,ON,Ontario
Augusta,ON,Ontario
Stephenville,NL,Newfoundland and Labrador
The Pas,MB,Manitoba
St. Marys,ON,Ontario
Saint-Rémi,QC,Quebec
Drayton Valley,AB,Alberta
Ponoka,AB,Alberta
Southgate,ON,Ontario
Les Cèdres,QC,Quebec
Baie-Saint-Paul,QC,Quebec
Merritt,BC,British Columbia
Bluewater,ON,Ontario
East Zorra-Tavistock,ON,Ontario
Brownsburg,QC,Quebec
Asbestos,QC,Quebec
Otonabee-South Monaghan,ON,Ontario
Huron-Kinloss,ON,Ontario
Hampstead,QC,Quebec
Saint-Joseph-du-Lac,QC,Quebec
Plessisville,QC,Quebec
The Blue Mountains,ON,Ontario
Whitewater Region,ON,Ontario
Edwardsburgh/Cardinal,ON,Ontario
Sainte-Anne-des-Monts,QC,Quebec
Bay Roberts,NL,Newfoundland and Labrador
Wainfleet,ON,Ontario
North Stormont,ON,Ontario
Alnwick/Haldimand,ON,Ontario
Peace River,AB,Alberta
Saint-Lambert-de-Lauzon,QC,Quebec
Arran-Elderslie,ON,Ontario
Parry Sound,ON,Ontario
Val-Shefford,QC,Quebec
West St. Paul,MB,Manitoba
Slave Lake,AB,Alberta
Port-Cartier,QC,Quebec
Barrington,NS,Nova Scotia
Rocky Mountain House,AB,Alberta
Muskoka Falls,ON,Ontario
Cornwall,PE,Prince Edward Island
Saint-Paul,QC,Quebec
Devon,AB,Alberta
Perth,ON,Ontario
Wainwright,AB,Alberta
Shannon,QC,Quebec
Saint-Honoré,QC,Quebec
Beaubassin East / Beaubassin-est,NB,New Brunswick
Bonnyville,AB,Alberta
Cramahe,ON,Ontario
Beauceville,QC,Quebec
North Middlesex,ON,Ontario
Beaupré,QC,Quebec
Charlemagne,QC,Quebec
Kent,BC,British Columbia
Clarenville,NL,Newfoundland and Labrador
Mont-Joli,QC,Quebec
Pointe-Calumet,QC,Quebec
Dysart et al,ON,Ontario
Carbonear,NL,Newfoundland and Labrador
Hope,BC,British Columbia
Pontiac,QC,Quebec
L'Ange-Gardien,QC,Quebec
Hindon Hill,ON,Ontario
La Broquerie,MB,Manitoba
Tweed,ON,Ontario
Oliver Paipoonge,ON,Ontario
Saint-Félix-de-Valois,QC,Quebec
Melfort,SK,Saskatchewan
Stettler,AB,Alberta
Niverville,MB,Manitoba
McMasterville,QC,Quebec
Douglas,NB,New Brunswick
Saint-Calixte,QC,Quebec
Lac-Mégantic,QC,Quebec
Humboldt,SK,Saskatchewan
St. Paul,AB,Alberta
Saint-Henri,QC,Quebec
Peachland,BC,British Columbia
Verchères,QC,Quebec
Richelieu,QC,Quebec
Petrolia,ON,Ontario
Southwest Middlesex,ON,Ontario
Front of Yonge,ON,Ontario
Oliver,BC,British Columbia
Vegreville,AB,Alberta
Princeville,QC,Quebec
Saint-Césaire,QC,Quebec
Tay Valley,ON,Ontario
South Bruce,ON,Ontario
Antigonish,NS,Nova Scotia
Crowsnest Pass,AB,Alberta
Redcliff,AB,Alberta
Val-David,QC,Quebec
Fernie,BC,British Columbia
Windsor,NS,Nova Scotia
Notre-Dame-du-Mont-Carmel,QC,Quebec
Sainte-Martine,QC,Quebec
Creston,BC,British Columbia
Saint-Roch-de-l'Achigan,QC,Quebec
Sussex,NB,New Brunswick
Saint-Pie,QC,Quebec
Ashfield-Colborne-Wawanosh,ON,Ontario
Trent Lakes,ON,Ontario
Northern Rockies,BC,British Columbia
